timestamp,currentmode,newdpressevent,newpressevent,newtempevent_1,newtempevent_2,newtempevent_3,servostatusevent,servoventstatusevent
13:13:23.690361,1,0.94,45.59,6.3,5.3,4.6,0,0
13:13:23.795226,1,0.98,45.67,6.3,5.3,4.6,0,0
13:13:23.900544,1,0.99,45.63,6.3,5.3,4.6,0,0
13:13:24.005880,1,0.94,45.62,6.3,5.3,4.6,0,0
13:13:24.110728,1,0.99,45.62,6.3,5.3,4.6,0,0
13:13:24.214956,1,0.88,45.57,6.3,5.3,4.6,0,0
13:13:24.320231,1,0.9,45.42,6.3,5.3,4.6,0,0
13:13:24.425511,1,1.02,45.71,6.3,5.3,4.6,0,0
13:13:24.530044,1,0.94,45.78,6.3,5.3,4.6,0,0
13:13:24.634991,1,0.94,45.5,6.3,5.3,4.6,0,0
13:13:24.739704,1,0.94,45.67,6.3,5.3,4.6,0,0
13:13:24.843987,1,0.9,45.57,6.3,5.3,4.6,0,0
13:13:24.948271,1,1.02,45.52,6.3,5.3,4.6,0,0
13:13:25.053608,1,1.0,45.65,6.3,5.3,4.6,0,0
13:13:25.159220,1,0.96,45.76,6.3,5.3,4.6,0,0
13:13:25.264382,1,0.93,45.74,6.3,5.3,4.6,0,0
13:13:25.370735,1,0.86,45.67,6.3,5.3,4.6,0,0
13:13:25.476020,1,1.06,45.72,6.3,5.3,4.6,0,0
13:13:25.581414,1,0.92,45.52,6.3,5.3,4.6,0,0
13:13:25.686849,1,0.9,45.7,6.3,5.3,4.6,0,0
13:13:25.792451,1,0.96,45.74,6.3,5.3,4.6,0,0
13:13:25.897271,1,0.9,45.58,6.3,5.3,4.6,0,0
13:13:26.001523,1,1.03,45.66,6.3,5.3,4.6,0,0
13:13:26.106413,1,0.99,45.78,6.3,5.3,4.6,0,0
13:13:26.210949,1,0.85,45.6,6.3,5.3,4.6,0,0
13:13:26.315836,1,0.97,45.58,6.3,5.3,4.6,0,0
13:13:26.421227,1,1.04,45.68,6.3,5.3,4.6,0,0
13:13:26.526366,1,0.95,45.63,6.3,5.3,4.6,0,0
13:13:26.630920,1,1.0,45.68,6.3,5.3,4.6,0,0
13:13:26.735823,1,1.04,45.44,6.3,5.3,4.6,0,0
13:13:26.840146,1,1.06,45.58,6.3,5.3,4.6,0,0
13:13:26.944817,1,1.03,45.7,6.3,5.3,4.6,0,0
13:13:27.049571,1,1.1,45.64,6.3,5.3,4.6,0,0
13:13:27.154150,1,0.98,45.81,6.3,5.3,4.6,0,0
13:13:27.259466,1,0.9,45.7,6.3,5.3,4.6,0,0
13:13:27.364336,1,0.98,45.72,6.3,5.3,4.6,0,0
13:13:27.469816,1,1.0,45.57,6.3,5.3,4.6,0,0
13:13:27.574301,1,0.98,45.7,6.3,5.3,4.6,0,0
13:13:27.679600,1,1.08,45.68,6.3,5.3,4.6,0,0
13:13:27.783822,1,1.06,45.7,6.3,5.3,4.6,0,0
13:13:27.888382,1,1.1,45.68,6.3,5.3,4.6,0,0
13:13:27.994507,1,0.92,45.68,6.3,5.3,4.6,0,0
13:13:28.098588,1,0.9,45.7,6.3,5.3,4.6,0,0
13:13:28.203457,1,1.0,45.86,6.3,5.3,4.6,0,0
13:13:28.308976,1,1.0,45.64,6.3,5.3,4.6,0,0
13:13:28.413492,1,0.98,45.65,6.3,5.3,4.6,0,0
13:13:28.520750,1,0.88,45.79,6.3,5.3,4.6,0,0
13:13:28.625873,1,0.92,45.64,6.3,5.3,4.6,0,0
13:13:28.730335,1,1.03,45.76,6.3,5.3,4.6,0,0
13:13:28.835715,1,1.0,45.68,6.3,5.3,4.6,0,0
13:13:28.941111,1,0.96,45.75,6.3,5.3,4.6,0,0
13:13:29.046494,1,1.02,45.78,6.3,5.3,4.6,0,0
13:13:29.152115,1,1.0,45.7,6.3,5.3,4.6,0,0
13:13:29.255866,1,0.88,45.7,6.3,5.3,4.6,0,0
13:13:29.360389,1,0.95,45.64,6.3,5.3,4.6,0,0
13:13:29.466092,1,0.96,45.72,6.3,5.3,4.6,0,0
13:13:29.572090,1,0.96,45.81,6.3,5.3,4.6,0,0
13:13:29.677484,1,0.91,45.71,6.3,5.3,4.6,0,0
13:13:29.782808,1,0.92,45.79,6.3,5.3,4.6,0,0
13:13:29.887963,1,0.81,45.72,6.3,5.3,4.6,0,0
13:13:29.994501,1,1.0,45.78,6.3,5.3,4.6,0,0
13:13:30.099328,1,0.93,45.8,6.3,5.3,4.6,0,0
13:13:30.203721,1,0.92,45.78,6.3,5.3,4.6,0,0
13:13:30.308262,1,1.02,45.84,6.3,5.3,4.6,0,0
13:13:30.413115,1,0.92,45.94,6.3,5.3,4.6,0,0
13:13:30.518481,1,0.95,45.74,6.3,5.3,4.6,0,0
13:13:30.623615,1,0.97,45.57,6.3,5.3,4.6,0,0
13:13:30.729000,1,0.99,45.84,6.3,5.3,4.6,0,0
13:13:30.833207,1,0.96,45.73,6.3,5.3,4.6,0,0
13:13:30.937118,1,0.94,45.74,6.3,5.3,4.6,0,0
13:13:31.042360,1,0.92,45.71,6.3,5.3,4.6,0,0
13:13:31.148129,1,0.91,45.8,6.3,5.3,4.6,0,0
13:13:31.252682,1,1.02,45.71,6.3,5.3,4.6,0,0
13:13:31.356955,1,0.91,45.84,6.3,5.3,4.6,0,0
13:13:31.461789,1,1.07,45.68,6.3,5.3,4.6,0,0
13:13:31.567233,1,0.92,45.84,6.3,5.3,4.6,0,0
13:13:31.672176,1,0.96,45.76,6.3,5.3,4.6,0,0
13:13:31.778038,1,0.95,45.86,6.3,5.3,4.6,0,0
13:13:31.882754,1,0.96,45.88,6.3,5.3,4.6,0,0
13:13:31.987972,1,0.99,45.72,6.3,5.3,4.6,0,0
13:13:32.092359,1,0.88,45.7,6.3,5.3,4.6,0,0
13:13:32.198832,1,0.9,45.76,6.3,5.3,4.6,0,0
13:13:32.305242,1,0.96,45.72,6.3,5.3,4.6,0,0
13:13:32.410209,1,0.97,45.83,6.3,5.3,4.6,0,0
13:13:32.515648,1,0.98,45.79,6.3,5.3,4.6,0,0
13:13:32.620793,1,1.04,45.74,6.3,5.3,4.6,0,0
13:13:32.726589,1,0.98,45.78,6.3,5.3,4.6,0,0
13:13:32.831656,1,0.91,45.86,6.3,5.3,4.6,0,0
13:13:32.936750,1,0.97,45.7,6.3,5.3,4.6,0,0
13:13:33.041809,1,1.0,45.79,6.3,5.3,4.6,0,0
13:13:33.147033,1,0.91,46.0,6.3,5.3,4.6,0,0
13:13:33.253864,1,0.93,45.78,6.3,5.3,4.6,0,0
13:13:33.358656,1,1.0,45.86,6.3,5.3,4.6,0,0
13:13:33.463256,1,0.98,45.88,6.3,5.3,4.7,0,0
13:13:33.568337,1,1.02,45.76,6.3,5.3,4.7,0,0
13:13:33.673551,1,0.88,45.81,6.3,5.3,4.7,0,0
13:13:33.778923,1,0.91,45.9,6.3,5.3,4.7,0,0
13:13:33.884196,1,1.04,45.62,6.3,5.3,4.7,0,0
13:13:33.989799,1,0.84,45.92,6.3,5.3,4.7,0,0
13:13:34.093989,1,0.92,45.76,6.3,5.3,4.7,0,0
13:13:34.200057,1,0.9,45.64,6.3,5.3,4.7,0,0
13:13:34.305951,1,0.96,45.73,6.3,5.3,4.7,0,0
13:13:34.410872,1,0.79,45.82,6.3,5.3,4.7,0,0
13:13:34.514844,1,0.99,45.74,6.3,5.3,4.7,0,0
13:13:34.619591,1,0.91,45.86,6.3,5.3,4.7,0,0
13:13:34.724147,1,0.92,45.87,6.3,5.3,4.7,0,0
13:13:34.829528,1,0.94,45.88,6.3,5.3,4.7,0,0
13:13:34.935284,1,0.96,45.9,6.3,5.3,4.7,0,0
13:13:35.040133,1,0.91,45.86,6.3,5.3,4.7,0,0
