TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS
9674561;45;53;50;5329;107;
9674760;45;53;50;5316;104;
9674962;45;53;50;5303;94;
9675161;45;53;50;5311;110;
9675361;45;53;50;5319;95;
9675560;45;53;50;5311;90;
9675760;45;53;50;5307;91;
9675960;45;53;50;5319;92;
9676160;45;53;50;5318;99;
9676361;45;53;50;5322;105;
9676562;45;53;50;5309;105;
9676762;45;53;50;5324;107;
9676962;45;53;50;5315;98;
9677162;45;53;50;5294;96;
9677361;45;53;50;5311;106;
9677561;45;53;50;5317;96;
9677760;45;53;50;5312;102;
9677960;45;53;50;5311;105;
9678161;45;53;50;5308;96;
9678361;45;53;50;5301;85;
9678561;45;53;50;5310;95;
9678760;45;53;50;5308;84;
9678960;45;53;50;5303;105;
9679160;45;53;50;5312;100;
9679361;45;53;50;5322;84;
9679560;45;53;50;5318;97;
9679760;45;53;50;5313;96;
9679960;45;53;50;5307;97;
9680161;45;53;50;5309;96;
9680362;45;53;50;5311;104;
9680562;45;53;50;5311;92;
9680762;45;53;50;5299;106;
9680962;45;53;50;5310;100;
9681163;45;53;50;5318;98;
9681363;45;53;50;5310;98;
9681562;45;53;50;5314;106;
9681763;45;53;50;5326;104;
9681963;45;53;50;5310;103;
9682163;45;53;50;5317;98;
9682362;45;53;50;5311;92;
9682562;45;53;50;5307;92;
9682761;45;53;50;5314;102;
9682961;45;53;50;5308;92;
9683160;45;53;50;5307;116;
9683360;45;53;50;5307;96;
9683560;45;53;50;5315;102;
9683760;45;53;50;5312;88;
9683960;45;53;50;5320;97;
9684159;45;53;50;5317;102;
9684361;45;53;50;5306;102;
9684562;45;53;50;5307;100;
9684763;45;53;50;5301;92;
9684963;45;53;50;5321;84;
9685163;45;53;50;5293;97;
9685362;45;53;50;5307;95;
9685562;45;53;50;5319;92;
9685763;45;53;50;5308;91;
9685962;45;53;50;5311;104;
9686163;45;53;50;5302;100;
9686362;45;53;50;5322;96;
9686563;45;53;50;5300;100;
9686763;45;53;50;5303;100;
9686963;45;53;50;5308;103;
9687162;45;53;50;5307;96;
9687363;45;53;50;5308;88;
9687562;45;53;50;5300;107;
9687762;45;53;50;5313;96;
9687962;45;53;50;5313;90;
9688162;45;53;50;5313;101;
9688361;45;53;50;5325;98;
9688562;45;53;50;5319;90;
9688763;45;53;50;5333;95;
9688962;45;53;50;5310;100;
9689162;45;53;50;5293;102;
9689363;45;53;50;5320;85;
9689563;45;53;50;5311;100;
9689763;45;53;50;5317;94;
9689964;45;53;50;5310;96;
9690164;45;53;50;5303;116;
9690363;45;53;50;5306;98;
9690566;45;53;50;5298;94;
9690766;45;53;50;5319;95;
9690966;45;53;50;5319;94;
9691168;45;53;50;5305;115;
9691369;45;53;50;5311;99;
9691570;45;53;50;5311;96;
9691769;45;53;50;5307;106;
9691969;45;53;50;5313;103;
9692168;45;53;50;5308;98;
9692368;45;53;50;5321;90;
9692568;45;53;50;5322;98;
9692768;45;53;50;5302;100;
9692967;45;53;50;5316;112;
9693167;45;53;50;5309;82;
9693368;45;53;50;5300;103;
9693570;45;53;50;5319;86;
9693770;45;53;50;5305;86;
9693970;45;53;50;5321;100;
9694171;45;53;50;5323;90;
9694371;45;53;50;5309;90;
9694572;45;53;50;5305;97;
9694771;45;53;50;5314;97;
9694971;45;53;50;5305;108;
9695170;45;53;50;5305;101;
9695370;45;53;50;5331;85;
9695571;46;53;50;5311;95;
9695772;46;53;50;5301;89;
9695972;46;53;50;5300;106;
9696171;46;53;50;5299;100;
9696372;46;53;50;5318;104;
9696572;46;53;50;5321;102;
9696772;46;53;50;5315;97;
9696973;46;53;50;5318;100;
9697173;46;53;50;5315;96;
9697373;46;53;50;5309;92;
9697572;46;53;50;5304;110;
9697772;46;53;50;5305;102;
9697971;46;53;50;5327;102;
9698171;46;53;50;5293;98;
9698371;46;53;50;5307;89;
9698570;46;53;50;5323;98;
9698770;46;53;50;5313;104;
9698970;46;53;50;5306;96;
9699170;46;53;50;5311;87;
9699371;46;53;50;5311;101;
9699571;46;53;50;5321;99;
9699770;46;53;50;5316;98;
9699972;46;53;50;5311;98;
9700172;46;53;50;5316;102;
9700372;46;53;50;5299;97;
9700574;46;53;50;5304;101;
9700775;46;53;50;5310;111;
9700975;46;53;50;5305;98;
9701175;46;53;50;5311;106;
9701375;46;53;50;5327;92;
9701574;46;53;50;5301;105;
9701774;46;53;50;5311;95;
9701974;46;53;50;5310;92;
9702174;46;53;50;5319;106;
9702374;46;53;50;5297;92;
9702574;46;53;50;5301;102;
9702775;46;53;50;5311;100;
9702975;46;53;50;5304;98;
9703175;46;53;50;5302;90;
9703374;46;53;50;5314;82;
9703575;46;53;50;5313;108;
9703775;46;53;50;5293;80;
9703974;46;53;50;5305;98;
9704175;46;53;50;5313;108;
9704376;46;53;50;5319;99;
9704575;46;53;50;5305;96;
9704776;46;53;50;5322;96;
9704975;46;53;50;5321;94;
9705177;46;53;50;5310;98;
9705376;46;53;50;5314;104;
9705576;46;53;50;5292;87;
9705776;46;53;50;5308;102;
9705976;46;53;50;5300;91;
9706175;46;53;50;5308;90;
9706375;46;53;50;5312;89;
9706575;46;53;50;5299;90;
9706774;46;53;50;5306;101;
9706974;46;53;50;5320;100;
9707175;46;53;50;5315;90;
9707375;46;53;50;5310;90;
9707574;46;53;50;5323;104;
9707774;46;53;50;5305;90;
9707973;46;53;50;5309;102;
9708173;46;53;50;5303;80;
9708373;46;53;50;5313;100;
9708572;46;53;50;5313;103;
9708772;46;53;50;5313;99;
9708971;46;53;50;5307;120;
9709171;46;53;50;5290;100;
9709371;46;53;50;5311;110;
9709573;46;53;50;5329;98;
9709775;46;53;50;5308;93;
9709975;46;53;50;5311;100;
9710175;46;53;50;5321;100;
9710376;46;53;49;5307;104;
9710575;46;53;49;5315;104;
9710775;46;53;49;5314;104;
9710974;46;53;49;5303;105;
9711175;46;53;49;5314;74;
9711375;46;53;49;5296;105;
9711574;46;53;49;5302;107;
9711774;46;53;49;5303;94;
9711974;46;53;49;5311;102;
9712174;46;53;49;5295;96;
9712375;46;53;49;5307;104;
9712574;46;53;49;5317;99;
9712774;46;53;49;5313;100;
9712974;46;53;49;5311;94;
9713174;46;53;49;5312;106;
9713373;46;53;49;5311;107;
9713573;46;53;49;5307;98;
9713773;46;53;49;5307;109;
9713972;46;53;49;5307;92;
9714172;46;53;49;5313;99;
9714371;46;53;49;5306;102;
9714571;46;53;49;5310;100;
9714771;46;53;49;5323;89;
9714971;46;53;49;5297;94;
9715171;46;53;49;5305;95;
9715371;46;53;49;5314;98;
9715571;46;53;49;5317;103;
9715771;46;53;49;5309;96;
9715971;46;53;49;5312;90;
9716171;46;53;49;5317;82;
9716371;46;53;49;5303;97;
9716571;46;53;49;5305;110;
9716771;46;53;49;5305;96;
9716972;46;53;49;5309;90;
9717172;46;53;49;5299;87;
9717371;46;53;49;5308;96;
9717572;46;53;49;5304;106;
9717771;46;53;50;5312;102;
9717971;46;53;50;5283;114;
9718171;46;53;50;5327;93;
9718370;46;53;50;5307;100;
9718570;46;53;50;5327;98;
9718770;46;53;50;5302;101;
9718970;46;53;50;5321;107;
