Time,ADC_CH0,ADC_CH1,ADC_CH2,ADC_CH3,PWM_Val
45.49,2875,2876,2,742,330
45.56,2875,2876,3,745,375
45.62,2875,2876,3,748,261
45.69,2875,2876,2,741,261
45.76,2876,2876,2,740,375
45.83,2875,2876,3,747,330
45.89,2875,2876,3,744,216
45.96,2875,2876,2,743,307
46.03,2875,2876,2,740,398
46.10,2875,2876,3,746,284
46.17,2875,2876,3,748,239
46.25,2875,2876,2,742,353
46.32,2875,2876,2,742,353
46.39,2875,2876,2,743,239
46.46,2875,2876,2,743,284
46.54,2875,2876,2,742,398
46.61,2875,2876,2,743,307
46.67,2875,2876,2,740,216
46.75,2876,2876,2,744,330
46.83,2875,2876,2,742,375
46.91,2875,2876,2,743,261
46.98,2875,2876,2,739,261
47.04,2875,2876,2,743,375
47.11,2875,2876,2,741,330
47.18,2875,2876,3,745,216
47.24,2875,2876,2,743,307
47.31,2875,2876,2,740,398
47.38,2875,2876,2,744,284
47.45,2875,2876,3,745,239
47.52,2875,2876,2,743,353
47.59,2876,2876,2,742,353
47.67,2875,2876,2,743,239
47.74,2875,2876,2,741,284
47.81,2875,2876,2,742,398
47.88,2875,2875,2,740,307
47.95,2875,2876,2,742,216
48.03,2875,2876,3,747,330
48.10,2875,2876,2,743,375
48.17,2875,2876,2,742,261
48.23,2875,2876,2,739,261
48.31,2875,2876,2,744,375
48.37,2875,2876,2,739,330
48.44,2875,2876,2,742,216
48.51,2875,2876,2,741,307
48.58,2875,2876,3,745,398
48.64,2875,2876,3,748,284
48.71,2875,2876,3,745,239
48.78,2875,2876,2,742,353
48.85,2875,2876,2,742,353
48.92,2875,2876,2,744,239
48.99,2875,2876,2,740,284
49.06,2875,2876,2,742,398
49.13,2875,2876,3,747,307
49.20,2876,2876,3,745,216
49.26,2875,2876,3,748,330
49.33,2875,2876,2,740,375
49.40,2875,2876,2,742,261
49.47,2875,2876,2,742,261
49.55,2875,2876,3,747,375
49.62,2875,2876,3,745,330
49.68,2875,2876,2,743,216
49.75,2876,2876,2,740,307
49.83,2875,2876,2,741,398
49.91,2875,2876,2,742,284
49.98,2875,2876,2,743,239
50.05,2876,2877,3,746,353
50.12,2875,2876,3,745,353
50.18,2876,2876,2,743,239
50.25,2875,2876,2,740,284
50.32,2875,2876,2,743,398
50.39,2875,2876,2,742,307
50.46,2875,2876,2,740,216
50.53,2875,2876,3,748,330
50.59,2875,2876,2,740,375
50.66,2875,2876,2,742,261
50.73,2875,2876,2,742,261
50.80,2875,2876,2,744,375
50.87,2875,2876,2,740,330
50.94,2876,2876,2,741,216
51.02,2875,2876,2,743,307
51.10,2876,2876,2,743,398
51.17,2875,2876,3,746,284
51.24,2875,2876,2,740,239
51.31,2876,2876,2,742,353
51.38,2876,2876,2,739,353
51.44,2876,2876,2,743,239
51.51,2875,2876,2,740,284
51.58,2875,2876,2,741,398
51.65,2875,2876,3,748,307
51.71,2876,2876,2,740,216
51.79,2875,2876,2,741,330
51.86,2875,2876,2,740,375
51.92,2876,2876,2,743,261
52.00,2875,2877,2,741,261
52.07,2875,2876,2,741,375
52.14,2875,2876,3,745,330
52.20,2875,2876,2,744,216
52.27,2875,2876,2,740,307
52.34,2875,2876,3,748,398
52.41,2875,2876,2,742,284
52.48,2876,2876,2,740,239
52.55,2876,2877,2,744,353
52.61,2875,2876,2,740,353
52.68,2875,2876,2,741,239
52.75,2875,2876,2,743,284
52.82,2875,2876,3,745,398
52.88,2875,2876,2,743,307
52.96,2876,2877,3,745,216
53.03,2876,2876,2,743,330
53.09,2875,2876,2,740,375
53.16,2875,2876,2,744,261
53.25,2876,2876,2,745,261
53.33,2875,2876,2,743,375
53.40,2875,2876,3,745,330
53.47,2876,2876,2,743,216
53.54,2876,2876,2,740,307
53.60,2876,2876,2,743,398
53.67,2875,2876,2,742,284
53.74,2876,2876,2,740,239
53.81,2876,2877,2,743,353
53.87,2876,2877,2,740,353
53.95,2876,2876,3,748,239
54.02,2875,2876,3,745,284
54.08,2876,2876,2,743,398
54.15,2876,2876,2,742,307
54.22,2876,2877,3,745,216
54.29,2876,2877,2,744,330
54.36,2876,2876,2,739,375
54.42,2875,2876,2,743,261
54.49,2876,2877,2,741,261
54.56,2876,2877,2,741,375
54.63,2876,2876,2,743,330
54.69,2875,2876,2,740,216
54.77,2876,2876,2,743,307
54.84,2876,2876,2,740,398
54.90,2876,2876,2,743,284
54.98,2875,2876,2,741,239
55.05,2876,2877,2,744,353
55.11,2876,2877,2,741,353
55.18,2876,2876,2,741,239
55.27,2876,2877,2,744,284
55.34,2876,2877,2,742,398
55.42,2876,2876,2,742,307
55.49,2876,2877,2,743,216
55.56,2875,2876,3,745,330
55.63,2876,2877,2,743,375
55.69,2875,2876,2,740,261
55.76,2876,2877,2,741,261
55.83,2875,2876,2,742,375
55.90,2876,2876,3,745,330
55.96,2876,2877,2,743,216
56.04,2876,2877,2,741,307
56.11,2875,2876,2,743,398
56.17,2875,2877,2,740,284
56.24,2876,2877,2,742,239
56.31,2876,2876,2,740,353
56.38,2875,2876,3,746,353
56.45,2876,2876,2,743,239
56.52,3072,2876,2,739,284
56.58,2875,2876,2,743,398
56.65,2876,2876,2,742,307
56.72,2876,2877,2,740,216
56.78,2875,2877,2,743,330
56.85,2876,2877,2,740,375
56.93,2876,2876,2,743,261
57.01,2875,2876,2,743,261
57.07,2876,2877,2,740,375
57.14,2876,2876,3,747,330
57.21,2876,2877,2,743,216
57.29,2875,2877,2,742,307
57.36,2876,2877,2,742,398
57.43,2875,2876,2,742,284
57.50,2876,2877,2,740,239
57.58,2876,2877,2,743,353
57.67,2876,2876,2,742,353
57.76,2875,2876,2,740,239
57.83,2876,2877,2,744,284
57.89,2876,2877,2,740,398
57.96,2875,2876,2,741,307
58.03,2876,2877,2,742,216
58.10,2875,2877,2,740,330
58.17,2876,2877,3,748,375
58.24,2876,2877,2,741,261
58.31,2875,2877,2,742,261
58.38,2876,2876,2,740,375
58.46,2875,2876,2,739,330
58.53,2876,2877,2,744,216
58.59,2876,2877,2,740,307
58.66,2876,2876,2,741,398
58.73,2876,2877,3,745,284
58.80,2875,2876,2,742,239
58.87,2876,2877,2,741,353
58.94,2876,2876,2,740,353
59.01,2876,2876,2,743,239
59.08,2876,2877,2,740,284
59.14,2876,2877,2,742,398
59.21,2876,2877,2,743,307
59.28,2876,2877,3,745,216
59.35,2876,2877,2,743,330
59.41,2875,2877,2,740,375
59.48,2876,2877,3,745,261
59.56,2876,2877,2,741,261
59.64,2876,2877,3,745,375
59.71,2876,2877,2,743,330
59.78,2876,2877,2,740,216
59.85,2876,2876,3,748,307
59.91,2876,2876,2,741,398
59.98,2875,2876,2,741,284
