timestamp,fcfileloggerapp_loggingstate,engineservice_currentmode,envapp_newboardtempevent1,envapp_newboardtempevent2,envapp_newboardtempevent3,envapp_newchamberpressevent1,envapp_newoxidizerpressevent,envapp_newpressurefeedpressevent,envapp_newtempevent_1,envapp_newtempevent_2,envapp_newtempevent_3,secenvapp_newboardtempevent1,secenvapp_newboardtempevent2,secenvapp_newboardtempevent3,secenvapp_newchamberpressevent2,secenvapp_newchamberpressevent3,secenvapp_newethanolpressevent,servoservice_newoxidizerdumpvalveevent,servoservice_newoxidizermainvalveevent,servoservice_newoxidizerventvalveevent,servoservice_newpressurefeedmainevent,servoservice_newpressurefeedventevent,secservoservice_newethanolmainvalveevent,secservoservice_newethanolventvalveevent,sysstatservice_newsystemusage,envappfc_newbme280event,envappfc_newboardtempevent_1,envappfc_newboardtempevent_2,envappfc_newboardtempevent_3,envappfc_newimuevent,recoveryservice_newparachutestatusevent,gpsservice_gpsrmcstatusevent,gpsservice_gpsstatusevent,gpsservice_gpsvtgstatusevent,primerservice_primestatusevent,fcsysstatservice_newsystemusage,mainservice_currentmodestatusevent
2026-07-13 05:19:38.682268,,2,23.0,24.7,27.0,1.12,56.14,100.4,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.49,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.789658,,2,23.0,24.7,27.0,0.92,56.31,102.01,16.2,,,22.5,23.0,22.2,-23.91,1.35,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:38.896808,,2,23.0,24.7,27.0,0.88,56.07,101.47,16.2,,,22.5,23.0,22.2,-23.91,1.08,40.29,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.004570,,2,23.0,24.7,27.0,0.85,56.47,100.53,16.2,,,22.5,23.0,22.2,-23.91,1.39,40.39,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.111348,,2,23.0,24.7,27.0,0.65,56.57,100.8,16.2,,,22.5,23.0,22.2,-23.91,0.98,40.53,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.219194,,2,23.0,24.7,27.0,0.98,56.31,101.47,16.2,,,22.5,23.0,22.2,-23.91,1.39,40.02,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.325988,,2,23.0,24.7,27.0,1.25,56.57,101.74,16.2,,,22.5,23.0,22.2,-23.91,1.15,40.39,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.432715,,2,23.0,24.7,27.0,1.12,56.61,99.99,16.2,,,22.5,23.0,22.2,-23.91,1.29,40.09,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.540182,,2,23.0,24.7,27.0,0.95,56.41,101.47,16.2,,,22.5,23.0,22.2,-23.91,1.22,40.66,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.646763,,2,23.0,24.7,27.0,0.88,56.57,101.61,16.2,,,22.5,23.0,22.2,-23.91,1.32,40.02,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
